Case01 (Ts=310.581K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
  12.17551   9.92983   6.32694   0.94545
  12.21790   9.89202   6.39453   0.94283
  12.26059   9.86038   6.71018   0.94018
  12.30357   9.82623   6.78702   0.93752
  12.34686   9.78346   6.72171   0.93484
  12.39045   9.73664   6.89423   0.93214
  12.43436   9.68739   7.05238   0.92974
  12.47857   9.64101   7.20056   0.92733
  12.52310   9.60371   7.54517   0.92490
  12.56794   9.56933   7.65166   0.92245
  12.61311   9.52925   7.22473   0.91998
  12.65861   9.48199   6.72758   0.92034
  12.70443   9.43440   6.74400   0.92070
  12.75059   9.38797   6.96229   0.92106
  12.79708   9.34221   6.91747   0.92143
  12.84391   9.30840   7.07609   0.92179
  12.89109   9.27382   7.14196   0.92469
  12.93861   9.23170   6.89240   0.92761
  12.98648   9.19570   6.90910   0.93055
  13.03471   9.15724   6.89045   0.93352
  13.08330   9.11522   6.74144   0.93650
  13.13225   9.07789   6.77882   0.93512
  13.18157   9.04095   6.95323   0.93372
  13.23126   9.00447   7.26722   0.93231
  13.28133   8.96661   7.45030   0.93089
  13.33177   8.92434   7.38200   0.92946
  13.38260   8.88217   7.40291   0.92998
  13.43382   8.84051   7.55646   0.93051
  13.48544   8.79668   7.62763   0.93103
  13.53744   8.74877   7.52649   0.93157
  13.58986   8.69959   7.40111   0.93210
  13.64268   8.65549   7.41477   0.93498
  13.69591   8.61327   7.45806   0.93789
  13.74955   8.56631   7.34165   0.94081
  13.80362   8.51645   7.21776   0.94376
  13.85812   8.46623   7.31307   0.94673
  13.91304   8.42010   7.40812   0.94610
  13.96840   8.37671   7.35626   0.94547

Case02 (Ts=310.673K Algorithm:LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.17987   7.23210   1.00553
   8.02425  11.18743   7.59715   0.99866
   8.04267  11.19478   7.99679   0.99175
   8.06117  11.18030   7.61695   0.98481
   8.07976  11.14144   6.90223   0.97784
   8.09843  11.07455   6.00096   0.96250
   8.11719  11.01961   5.46934   0.95520
   8.13604  11.03012   6.07155   0.94787
   8.15497  11.08785   7.27927   0.94051
   8.17399  11.09647   7.68002   0.93311
   8.19310  11.06810   7.44117   0.92482
   8.21230  11.03943   7.17367   0.92040
   8.23159  11.04510   7.25527   0.91596
   8.25097  11.08307   7.65801   0.91150
   8.27045  11.01025   6.93007   0.90702
   8.29001  10.88832   5.70697   0.90259
   8.30967  10.83778   5.20362   0.90073
   8.32941  10.90136   5.77590   0.89887
   8.34926  10.97810   6.47084   0.89700
   8.36920  10.92461   5.94337   0.89511
   8.38923  10.89173   5.56632   0.89445
   8.40936  10.99684   6.40936   0.89412
   8.42958  11.06767   6.93046   0.89378
   8.44991  10.98623   6.08059   0.89344
   8.47033  10.91291   5.36808   0.89310
   8.49085  11.00108   6.10852   0.89131
   8.51147  11.14071   7.24518   0.89236
   8.53219  11.09354   6.69176   0.89343
   8.55301  10.99699   5.68473   0.89449
   8.57393  11.07472   6.09723   0.89557
   8.59495  11.11820   5.96076   0.91048
   8.61608  11.07442   4.99066   0.90862
   8.63731  11.05558   4.68615   0.90676
   8.65865  11.08649   5.31398   0.90489
   8.68009  11.16569   6.40447   0.90301
   8.70164  11.12816   6.32787   0.88922
   8.72329  10.98376   5.24618   0.88680
   8.74506  10.91944   4.77830   0.88437
   8.76693  10.97955   5.29606   0.88193
   8.78891  11.14336   6.63514   0.87947
   8.81100  11.17604   6.86212   0.87970
   8.83320  11.01690   5.52454   0.87979
   8.85552  10.92400   4.74134   0.87987
   8.87794  10.93771   4.76913   0.87997
   8.90048  11.02946   5.39778   0.88006
   8.92314  11.11435   5.96753   0.88328
   8.94591  11.07300   5.50098   0.88397
   8.96879  11.05008   5.21822   0.88467
   8.99180  11.11048   5.65278   0.88536
   9.01492  11.14947   5.95604   0.88606
   9.03816  11.14000   5.91087   0.88454
   9.06152  11.13122   5.86761   0.88280
   9.08500  11.14291   5.99419   0.88105
   9.10861  11.07529   5.52734   0.87929
   9.13233  11.01409   5.10277   0.87752
   9.15618  11.05533   5.45477   0.87652
   9.18016  11.05894   5.51867   0.87556
   9.20426  11.02637   5.29759   0.87460
   9.22848  11.01815   5.26645   0.87363
   9.25284  11.00880   5.22699   0.87266
   9.27732  11.03433   5.42218   0.87178
   9.30193  11.09474   5.85968   0.87373
   9.32668  11.08681   5.74447   0.87569
   9.35155  11.08914   5.64708   0.87765
   9.37656  11.17198   6.12562   0.87963
   9.40170  11.21438   6.32931   0.88484
   9.42698  11.22749   6.38707   0.88571
   9.45239  11.24860   6.54712   0.88659
   9.47794  11.25743   6.61682   0.88748
   9.50363  11.26913   6.70219   0.88836
   9.52946  11.25142   6.53645   0.88767
   9.55542  11.18805   5.99964   0.88920
   9.58153  11.16648   5.79691   0.89073
   9.60779  11.21095   6.11326   0.89227
   9.63418  11.23523   6.22061   0.89382
   9.66072  11.23892   6.12213   0.89862
   9.68741  11.28095   6.37613   0.90216
   9.71425  11.32234   6.62084   0.90571
   9.74123  11.30741   6.32354   0.90929
   9.76837  11.28447   5.99543   0.91288
   9.79565  11.29584   6.07020   0.91413
   9.82309  11.31730   6.29756   0.91580
   9.85068  11.32270   6.35217   0.91748
   9.87843  11.31640   6.25575   0.91916
   9.90633  11.30069   6.03622   0.92086
   9.93440  11.27898   5.74763   0.92247
   9.96262  11.27721   5.67062   0.92512
   9.99100  11.29091   5.73217   0.92779
  10.01954  11.29154   5.64518   0.93048
  10.04825  11.28345   5.47571   0.93317
  10.07712  11.28619   5.42242   0.93589
  10.10615  11.29258   5.42364   0.93851
  10.13536  11.29905   5.45946   0.94115
  10.16473  11.30759   5.53690   0.94381
  10.19428  11.31559   5.64502   0.94647
  10.22399  11.33362   5.94054   0.94974
  10.25388  11.35111   6.23750   0.95152
  10.28395  11.34422   6.18161   0.95330
  10.31419  11.32654   5.96889   0.95509
  10.34461  11.31344   5.84514   0.95690
  10.37521  11.29909   5.73504   0.95784
  10.40599  11.28679   5.70560   0.95816
  10.43695  11.27958   5.86531   0.95848
  10.46810  11.27029   6.04993   0.95881
  10.49943  11.25362   6.06668   0.95914
  10.53095  11.23909   6.15996   0.95888
  10.56267  11.21963   6.19782   0.95818
  10.59457  11.18906   5.99896   0.95747
  10.62666  11.16133   5.89059   0.95675
  10.65895  11.13425   5.83825   0.95604
  10.69144  11.10785   5.80675   0.95534
  10.72413  11.08568   5.86680   0.95409
  10.75701  11.06473   5.96590   0.95284
  10.79010  11.04526   6.16346   0.95158
  10.82339  11.02607   6.42493   0.95031
  10.85689  10.99620   6.39632   0.94896
  10.89059  10.95793   6.13727   0.94788
  10.92450  10.92689   6.03813   0.94679
  10.95863  10.90603   6.21221   0.94569
  10.99297  10.88897   6.51877   0.94459
  11.02752  10.86268   6.45747   0.94518
  11.06230  10.82803   6.09982   0.94555
  11.09729  10.79918   5.97311   0.94593
  11.13250  10.77548   6.03212   0.94630
  11.16794  10.74869   6.05494   0.94668
  11.20360  10.72511   6.19874   0.94416
  11.23949  10.70809   6.53304   0.94354
  11.27562  10.68400   6.67605   0.94292
  11.31197  10.65160   6.55763   0.94229
  11.34856  10.62031   6.48953   0.94166
  11.38538  10.58756   6.41479   0.94268
  11.42245  10.55466   6.30821   0.94245
  11.45976  10.52843   6.39735   0.94221
  11.49731  10.50078   6.45338   0.94197
  11.53511  10.46920   6.46199   0.94174
  11.57316  10.43694   6.45151   0.94352
  11.61146  10.40336   6.31164   0.94137
  11.65001  10.37423   6.39660   0.93920
  11.68882  10.35517   6.92274   0.93702
  11.72789  10.33087   7.29844   0.93482
  11.76722  10.28768   6.95369   0.93857
  11.80681  10.24241   6.44080   0.93875
  11.84667  10.20730   6.38099   0.93894
  11.88680  10.17815   6.63745   0.93913
  11.92721  10.14382   6.64197   0.93932
  11.96789  10.10353   6.42383   0.94031
  12.00884  10.06610   6.33689   0.93985
  12.05008  10.03511   6.51667   0.93938
  12.09160  10.00496   6.73351   0.93891
  12.13341   9.96905   6.57764   0.93843
  12.17551   9.92983   6.32694   0.94265
  12.21790   9.89202   6.39453   0.94109
  12.26059   9.86038   6.71018   0.93951
  12.30357   9.82623   6.78702   0.93793
  12.34686   9.78346   6.72171   0.93633
  12.39045   9.73664   6.89423   0.93103
  12.43436   9.68739   7.05238   0.92317
  12.47857   9.64101   7.20056   0.91525
  12.52310   9.60371   7.54517   0.90728
  12.56794   9.56933   7.65166   0.89925
  12.61311   9.52925   7.22473   0.92484
  12.65861   9.48199   6.72758   0.92342
  12.70443   9.43440   6.74400   0.92199
  12.75059   9.38797   6.96229   0.92054
  12.79708   9.34221   6.91747   0.91909
  12.84391   9.30840   7.07609   0.91430
  12.89109   9.27382   7.14196   0.91790
  12.93861   9.23170   6.89240   0.92153
  12.98648   9.19570   6.90910   0.92519
  13.03471   9.15724   6.89045   0.92888
  13.08330   9.11522   6.74144   0.93516
  13.13225   9.07789   6.77882   0.93241
  13.18157   9.04095   6.95323   0.92964
  13.23126   9.00447   7.26722   0.92685
  13.28133   8.96661   7.45030   0.92403
  13.33177   8.92434   7.38200   0.92633
  13.38260   8.88217   7.40291   0.92493
  13.43382   8.84051   7.55646   0.92353
  13.48544   8.79668   7.62763   0.92212
  13.53744   8.74877   7.52649   0.92069
  13.58986   8.69959   7.40111   0.92658
  13.64268   8.65549   7.41477   0.93009
  13.69591   8.61327   7.45806   0.93363
  13.74955   8.56631   7.34165   0.93719
  13.80362   8.51645   7.21776   0.94079
  13.85812   8.46623   7.31307   0.93455
  13.91304   8.42010   7.40812   0.93674
  13.96840   8.37671   7.35626   0.93895

Case03 (Ts=310.361K Algorithm:ISSTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.17987   7.23210   1.01988
   8.02425  11.18743   7.59715   1.01819
   8.04267  11.19478   7.99679   1.01632
   8.06117  11.18030   7.61695   1.00479
   8.07976  11.14144   6.90223   0.99031
   8.09843  11.07455   6.00096   0.97544
   8.11719  11.01961   5.46934   0.96492
   8.13604  11.03012   6.07155   0.95934
   8.15497  11.08785   7.27927   0.95704
   8.17399  11.09647   7.68002   0.94977
   8.19310  11.06810   7.44117   0.94108
   8.21230  11.03943   7.17367   0.93392
   8.23159  11.04510   7.25527   0.92998
   8.25097  11.08307   7.65801   0.92829
   8.27045  11.01025   6.93007   0.92010
   8.29001  10.88832   5.70697   0.91313
   8.30967  10.83778   5.20362   0.90962
   8.32941  10.90136   5.77590   0.90913
   8.34926  10.97810   6.47084   0.90898
   8.36920  10.92461   5.94337   0.90543
   8.38923  10.89173   5.56632   0.90357
   8.40936  10.99684   6.40936   0.90561
   8.42958  11.06767   6.93046   0.90746
   8.44991  10.98623   6.08059   0.90456
   8.47033  10.91291   5.36808   0.90164
   8.49085  11.00108   6.10852   0.90220
   8.51147  11.14071   7.24518   0.90602
   8.53219  11.09354   6.69176   0.90459
   8.55301  10.99699   5.68473   0.90256
   8.57393  11.07472   6.09723   0.90737
   8.59495  11.11820   5.96076   0.91539
   8.61608  11.07442   4.99066   0.91955
   8.63731  11.05558   4.68615   0.91886
   8.65865  11.08649   5.31398   0.91407
   8.68009  11.16569   6.40447   0.90943
   8.70164  11.12816   6.32787   0.90191
   8.72329  10.98376   5.24618   0.89452
   8.74506  10.91944   4.77830   0.89109
   8.76693  10.97955   5.29606   0.89037
   8.78891  11.14336   6.63514   0.89214
   8.81100  11.17604   6.86212   0.89224
   8.83320  11.01690   5.52454   0.88861
   8.85552  10.92400   4.74134   0.88679
   8.87794  10.93771   4.76913   0.88734
   8.90048  11.02946   5.39778   0.88963
   8.92314  11.11435   5.96753   0.89238
   8.94591  11.07300   5.50098   0.89287
   8.96879  11.05008   5.21822   0.89316
   8.99180  11.11048   5.65278   0.89460
   9.01492  11.14947   5.95604   0.89498
   9.03816  11.14000   5.91087   0.89340
   9.06152  11.13122   5.86761   0.89199
   9.08500  11.14291   5.99419   0.89099
   9.10861  11.07529   5.52734   0.88776
   9.13233  11.01409   5.10277   0.88526
   9.15618  11.05533   5.45477   0.88496
   9.18016  11.05894   5.51867   0.88397
   9.20426  11.02637   5.29759   0.88259
   9.22848  11.01815   5.26645   0.88163
   9.25284  11.00880   5.22699   0.88070
   9.27732  11.03433   5.42218   0.88090
   9.30193  11.09474   5.85968   0.88218
   9.32668  11.08681   5.74447   0.88306
   9.35155  11.08914   5.64708   0.88530
   9.37656  11.17198   6.12562   0.89030
   9.40170  11.21438   6.32931   0.89411
   9.42698  11.22749   6.38707   0.89561
   9.45239  11.24860   6.54712   0.89673
   9.47794  11.25743   6.61682   0.89741
   9.50363  11.26913   6.70219   0.89843
   9.52946  11.25142   6.53645   0.89876
   9.55542  11.18805   5.99964   0.89772
   9.58153  11.16648   5.79691   0.89814
   9.60779  11.21095   6.11326   0.90097
   9.63418  11.23523   6.22061   0.90418
   9.66072  11.23892   6.12213   0.90731
   9.68741  11.28095   6.37613   0.91166
   9.71425  11.32234   6.62084   0.91656
   9.74123  11.30741   6.32354   0.91945
   9.76837  11.28447   5.99543   0.92114
   9.79565  11.29584   6.07020   0.92327
   9.82309  11.31730   6.29756   0.92531
   9.85068  11.32270   6.35217   0.92694
   9.87843  11.31640   6.25575   0.92852
   9.90633  11.30069   6.03622   0.92998
   9.93440  11.27898   5.74763   0.93119
   9.96262  11.27721   5.67062   0.93330
   9.99100  11.29091   5.73217   0.93652
