Case01 (Ts=310.079K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
  12.17551   9.90366   6.32694   0.95308
  12.21790   9.86953   6.39453   0.95308
  12.26059   9.83740   6.71018   0.95308
  12.30357   9.80145   6.78702   0.95308
  12.34686   9.75843   6.72171   0.95308
  12.39045   9.71128   6.89423   0.93372
  12.43436   9.65973   7.05238   0.93372
  12.47857   9.61327   7.20056   0.93372
  12.52310   9.58003   7.54517   0.93372
  12.56794   9.54620   7.65166   0.93372
  12.61311   9.50116   7.22473   0.93483
  12.65861   9.45080   6.72758   0.93483
  12.70443   9.40572   6.74400   0.93483
  12.75059   9.36027   6.96229   0.93483
  12.79708   9.31241   6.91747   0.93483
  12.84391   9.28089   7.07609   0.93594
  12.89109   9.24868   7.14196   0.93594
  12.93861   9.20459   6.89240   0.93594
  12.98648   9.16782   6.90910   0.93594
  13.03471   9.13008   6.89045   0.93594
  13.08330   9.08847   6.74144   0.94618
  13.13225   9.05150   6.77882   0.94618
  13.18157   9.01469   6.95323   0.94618
  13.23126   8.97898   7.26722   0.94618
  13.28133   8.94083   7.45030   0.94618
  13.33177   8.89695   7.38200   0.94380
  13.38260   8.85334   7.40291   0.94380
  13.43382   8.81093   7.55646   0.94380
  13.48544   8.76800   7.62763   0.94380
  13.53744   8.72196   7.52649   0.94380
  13.58986   8.67431   7.40111   0.95507
  13.64268   8.63076   7.41477   0.95507
  13.69591   8.58681   7.45806   0.95507
  13.74955   8.53736   7.34165   0.95507
  13.80362   8.48791   7.21776   0.95507
  13.85812   8.43947   7.31307   0.95982
  13.91304   8.39316   7.40812   0.95982
  13.96840   8.34875   7.35626   0.95982

Case02 (Ts=310.110K Algorithm:ISSTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.09467   7.23210   1.01148
   8.02425  11.10608   7.59715   1.01003
   8.04267  11.11395   7.99679   1.00729
   8.06117  11.09430   7.61695   0.99514
   8.07976  11.05115   6.90223   0.98113
   8.09843  10.97977   6.00096   0.96688
   8.11719  10.92148   5.46934   0.95649
