Case01 (Ts=312.231K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.46777   7.13099   0.99767
   8.02425  11.47628   7.51606   0.98905
   8.04267  11.48128   7.93839   0.98038
   8.06117  11.45622   7.53697   0.97168
   8.07976  11.40651   6.77935   0.96293
   8.09843  11.32502   5.81348   0.95414
   8.11719  11.25725   5.23522   0.94592
   8.13604  11.26846   5.87415   0.93766
   8.15497  11.33447   7.16562   0.92936
   8.17399  11.34522   7.59329   0.92102
   8.19310  11.31101   7.33504   0.91264
   8.21230  11.27042   7.04649   0.90753
   8.23159  11.27184   7.13004   0.90240
   8.25097  11.31345   7.55775   0.89724
   8.27045  11.22021   6.78039   0.89205
   8.29001  11.06253   5.46379   0.88685
   8.30967  10.99035   4.90999   0.88509
   8.32941  11.06603   5.51803   0.88332
   8.34926  11.15806   6.26711   0.88155
   8.36920  11.08558   5.70178   0.87977
   8.38923  11.04030   5.29062   0.87798
   8.40936  11.16677   6.18978   0.87660
   8.42958  11.24941   6.75120   0.87523
   8.44991  11.14069   5.83879   0.87384
   8.47033  11.04447   5.07093   0.87245
   8.49085  11.15371   5.86773   0.87105
   8.51147  11.32597   7.08563   0.87522
   8.53219  11.26380   6.48163   0.87940
   8.55301  11.13859   5.39044   0.88361
   8.57393  11.22874   5.83386   0.88783
   8.59495  11.27345   5.68974   0.89208
   8.61608  11.21051   4.63997   0.88905
   8.63731  11.18604   4.30641   0.88600
   8.65865  11.22790   4.98320   0.88293
   8.68009  11.32800   6.16342   0.87986
   8.70164  11.28214   6.07963   0.87676
   8.72329  11.09968   4.90360   0.87321
   8.74506  11.01490   4.39366   0.86964
   8.76693  11.09244   4.95336   0.86606
   8.78891  11.29996   6.40437   0.86245
   8.81100  11.33620   6.65337   0.85883
   8.83320  11.13009   5.20318   0.86007
   8.85552  11.01011   4.34965   0.86132
   8.87794  11.02534   4.37724   0.86257
   8.90048  11.13844   5.05954   0.86383
   8.92314  11.24210   5.68035   0.86509
   8.94591  11.18480   5.17331   0.86560
   8.96879  11.15113   4.86207   0.86611
   8.99180  11.22510   5.33295   0.86662
   9.01492  11.27402   5.66478   0.86713
   9.03816  11.26358   5.61716   0.86765
   9.06152  11.25329   5.56963   0.86564
   9.08500  11.26642   5.70570   0.86362
   9.10861  11.17813   5.19873   0.86159
   9.13233  11.09826   4.73591   0.85955
   9.15618  11.14887   5.11353   0.85750
   9.18016  11.15362   5.18489   0.85652
   9.20426  11.11280   4.94675   0.85553
   9.22848  11.10164   4.90943   0.85454
   9.25284  11.08837   4.86377   0.85354
   9.27732  11.12106   5.07414   0.85254
   9.30193  11.20191   5.54888   0.85583
   9.32668  11.19331   5.42454   0.85913
   9.35155  11.19238   5.31740   0.86245
   9.37656  11.29559   5.83829   0.86579
   9.40170  11.35450   6.06644   0.86914
   9.42698  11.37874   6.13177   0.87050
   9.45239  11.41007   6.30850   0.87185
   9.47794  11.42434   6.38783   0.87322
   9.50363  11.44015   6.48100   0.87459
   9.52946  11.41508   6.30057   0.87597
   9.55542  11.33290   5.70869   0.87778
   9.58153  11.30564   5.48107   0.87959
   9.60779  11.36200   5.83239   0.88142
   9.63418  11.39057   5.95526   0.88325
   9.66072  11.39181   5.84479   0.88510
   9.68741  11.44315   6.11875   0.88891
   9.71425  11.49386   6.38611   0.89274
   9.74123  11.47515   6.06281   0.89659
   9.76837  11.44615   5.70496   0.90047
   9.79565  11.45984   5.78703   0.90437
   9.82309  11.48913   6.03199   0.90567
   9.85068  11.49554   6.08495   0.90699
   9.87843  11.48612   5.97832   0.90831
   9.90633  11.46525   5.73860   0.90964
   9.93440  11.43534   5.41615   0.91097
   9.96262  11.43222   5.32214   0.91379
   9.99100  11.44868   5.38385   0.91662
  10.01954  11.45002   5.28397   0.91947
  10.04825  11.44179   5.09212   0.92233
  10.07712  11.44482   5.02978   0.92521
  10.10615  11.45370   5.02984   0.92841
  10.13536  11.46523   5.06697   0.93163
  10.16473  11.47832   5.15045   0.93486
  10.19428  11.49211   5.26903   0.93811
  10.22399  11.51978   5.59424   0.94139
  10.25388  11.54559   5.92554   0.94363
  10.28395  11.54125   5.86684   0.94590
  10.31419  11.52397   5.62989   0.94817
  10.34461  11.51350   5.49398   0.95046
  10.37521  11.50030   5.37409   0.95276
  10.40599  11.48957   5.34007   0.95363
  10.43695  11.49035   5.51674   0.95449
  10.46810  11.48781   5.72470   0.95537
  10.49943  11.47265   5.74725   0.95625
  10.53095  11.46275   5.85345   0.95713
  10.56267  11.44721   5.89890   0.95718
  10.59457  11.41655   5.68102   0.95722
  10.62666  11.39198   5.56222   0.95727
  10.65895  11.36871   5.50503   0.95731
  10.69144  11.34520   5.47105   0.95736
  10.72413  11.32765   5.53929   0.95694
  10.75701  11.31005   5.65175   0.95653
  10.79010  11.29358   5.87491   0.95611
  10.82339  11.27971   6.16991   0.95569
  10.85689  11.25255   6.14184   0.95526
  10.89059  11.21389   5.85576   0.95518
  10.92450  11.18416   5.74606   0.95510
  10.95863  11.16735   5.94067   0.95501
  10.99297  11.15502   6.28661   0.95493
  11.02752  11.12922   6.21944   0.95484
  11.06230  11.09034   5.81609   0.95503
  11.09729  11.05837   5.67624   0.95521
  11.13250  11.03509   5.74651   0.95540
  11.16794  11.00950   5.77232   0.95559
  11.20360  10.98753   5.93388   0.95578
  11.23949  10.97338   6.31140   0.95575
  11.27562  10.95109   6.47749   0.95572
  11.31197  10.91704   6.34890   0.95569
  11.34856  10.88471   6.27251   0.95566
  11.38538  10.85407   6.18760   0.95563
  11.42245  10.82134   6.06704   0.95600
  11.45976  10.79530   6.16838   0.95637
  11.49731  10.76842   6.23535   0.95674
  11.53511  10.73636   6.24963   0.95712
  11.57316  10.70415   6.23897   0.95750
  11.61146  10.66980   6.07855   0.95726
  11.65001  10.64014   6.17469   0.95701
  11.68882  10.62295   6.77367   0.95676
  11.72789  10.60120   7.20495   0.95652
  11.76722  10.55684   6.81746   0.95627
  11.80681  10.50669   6.23600   0.95661
  11.84667  10.46924   6.16808   0.95695
  11.88680  10.44173   6.45981   0.95730
  11.92721  10.40760   6.46637   0.95765
  11.96789  10.36524   6.22368   0.95801
  12.00884  10.32637   6.12897   0.95891
  12.05008  10.29708   6.33335   0.95982
  12.09160  10.26741   6.58451   0.96074
  12.13341  10.22617   6.41335   0.96167
  12.17551  10.18477   6.13184   0.96260
  12.21790  10.15005   6.21094   0.96052
  12.26059  10.11994   6.57566   0.95843
  12.30357  10.08328   6.66862   0.95632
  12.34686  10.03494   6.59223   0.95419
  12.39045   9.98253   6.78670   0.95205
  12.43436   9.92714   6.96974   0.94960
