Case01 (Ts=309.973K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.02718   7.23210   1.00672
   8.02425  11.03953   7.59715   0.99780
   8.04267  11.04784   7.99679   0.98884
   8.06117  11.03052   7.61695   0.97983
   8.07976  10.99060   6.90223   0.97079
   8.09843  10.92179   6.00096   0.96171
   8.11719  10.86612   5.46934   0.95400
   8.13604  10.88094   6.07155   0.94627
   8.15497  10.94335   7.27927   0.93850
   8.17399  10.95565   7.68002   0.93069
   8.19310  10.92737   7.44117   0.92284
   8.21230  10.89601   7.17367   0.91797
   8.23159  10.90311   7.25527   0.91308
   8.25097  10.94379   7.65801   0.90816
   8.27045  10.86683   6.93007   0.90322
   8.29001  10.73586   5.70697   0.89826
   8.30967  10.68140   5.20362   0.89684
   8.32941  10.75169   5.77590   0.89542
   8.34926  10.83310   6.47084   0.89399
   8.36920  10.77430   5.94337   0.89255
   8.38923  10.73943   5.56632   0.89111
   8.40936  10.85150   6.40936   0.88996
   8.42958  10.92609   6.93046   0.88880
   8.44991  10.83828   6.08059   0.88764
   8.47033  10.75890   5.36808   0.88647
   8.49085  10.85299   6.10852   0.88529
   8.51147  11.00173   7.24518   0.88911
   8.53219  10.94964   6.69176   0.89294
   8.55301  10.84631   5.68473   0.89680
   8.57393  10.92784   6.09723   0.90067
   8.59495  10.96877   5.96076   0.90456
   8.61608  10.91640   4.99066   0.90168
   8.63731  10.89600   4.68615   0.89878
   8.65865  10.93366   5.31398   0.89587
   8.68009  11.02230   6.40447   0.89295
   8.70164  10.98620   6.32787   0.89001
   8.72329  10.83467   5.24618   0.88656
   8.74506  10.76612   4.77830   0.88310
   8.76693  10.83052   5.29606   0.87963
   8.78891  11.00299   6.63514   0.87613
   8.81100  11.03735   6.86212   0.87262
   8.83320  10.87051   5.52454   0.87387
   8.85552  10.77217   4.74134   0.87511
   8.87794  10.78679   4.76913   0.87637
   8.90048  10.88380   5.39778   0.87763
   8.92314  10.97071   5.96753   0.87890
   8.94591  10.92306   5.50098   0.87920
   8.96879  10.89525   5.21822   0.87951
   8.99180  10.95759   5.65278   0.87981
   9.01492  11.00092   5.95604   0.88012
   9.03816  10.99346   5.91087   0.88042
   9.06152  10.98535   5.86761   0.87855
   9.08500  10.99659   5.99419   0.87666
   9.10861  10.92251   5.52734   0.87476
   9.13233  10.85798   5.10277   0.87285
   9.15618  10.90479   5.45477   0.87093
   9.18016  10.91151   5.51867   0.86999
   9.20426  10.87615   5.29759   0.86903
   9.22848  10.86508   5.26645   0.86807
   9.25284  10.85670   5.22699   0.86711
   9.27732  10.88659   5.42218   0.86614
   9.30193  10.95217   5.85968   0.86888
   9.32668  10.94295   5.74447   0.87163
   9.35155  10.94157   5.64708   0.87440
   9.37656  11.02744   6.12562   0.87718
   9.40170  11.07496   6.32931   0.87998
   9.42698  11.09279   6.38707   0.88095
   9.45239  11.11829   6.54712   0.88193
   9.47794  11.12887   6.61682   0.88292
   9.50363  11.13905   6.70219   0.88391
   9.52946  11.11801   6.53645   0.88491
   9.55542  11.05324   5.99964   0.88678
   9.58153  11.03325   5.79691   0.88867
   9.60779  11.07935   6.11326   0.89056
   9.63418  11.10208   6.22061   0.89246
   9.66072  11.10398   6.12213   0.89438
   9.68741  11.14882   6.37613   0.89788
   9.71425  11.19272   6.62084   0.90140
   9.74123  11.17587   6.32354   0.90494
   9.76837  11.14913   5.99543   0.90850
   9.79565  11.16025   6.07020   0.91208
   9.82309  11.18673   6.29756   0.91359
   9.85068  11.19402   6.35217   0.91511
   9.87843  11.18799   6.25575   0.91664
   9.90633  11.17277   6.03622   0.91818
   9.93440  11.14845   5.74763   0.91973
   9.96262  11.14548   5.67062   0.92229
