Case01 (Ts=311.803K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.39683   7.13099   1.00257
   8.02425  11.40430   7.51606   0.99381
   8.04267  11.41021   7.93839   0.98501
   8.06117  11.38907   7.53697   0.97616
   8.07976  11.34137   6.77935   0.96728
   8.09843  11.26325   5.81348   0.95835
   8.11719  11.19808   5.23522   0.95063
   8.13604  11.21022   5.87415   0.94287
   8.15497  11.27968   7.16562   0.93507
   8.17399  11.29189   7.59329   0.92723
   8.19310  11.25627   7.33504   0.91936
   8.21230  11.21720   7.04649   0.91422
   8.23159  11.21945   7.13004   0.90905
   8.25097  11.25990   7.55775   0.90386
   8.27045  11.17342   6.78039   0.89865
   8.29001  11.02457   5.46379   0.89341
   8.30967  10.95527   4.90999   0.89188
   8.32941  11.03015   5.51803   0.89034
   8.34926  11.12114   6.26711   0.88879
   8.36920  11.05312   5.70178   0.88724
   8.38923  11.01051   5.29062   0.88567
   8.40936  11.13097   6.18978   0.88436
   8.42958  11.21179   6.75120   0.88304
   8.44991  11.11067   5.83879   0.88171
   8.47033  11.01899   5.07093   0.88038
   8.49085  11.12293   5.86773   0.87903
   8.51147  11.28695   7.08563   0.88314
   8.53219  11.22865   6.48163   0.88726
   8.55301  11.11168   5.39044   0.89140
   8.57393  11.20001   5.83386   0.89556
   8.59495  11.24617   5.68974   0.89974
   8.61608  11.18704   4.63997   0.89678
   8.63731  11.16235   4.30641   0.89380
   8.65865  11.20110   4.98320   0.89081
   8.68009  11.29576   6.16342   0.88781
   8.70164  11.25416   6.07963   0.88479
   8.72329  11.08370   4.90360   0.88133
   8.74506  11.00360   4.39366   0.87786
   8.76693  11.07564   4.95336   0.87436
   8.78891  11.27217   6.40437   0.87086
   8.81100  11.30689   6.65337   0.86733
   8.83320  11.11154   5.20318   0.86846
   8.85552  10.99791   4.34965   0.86960
   8.87794  11.01275   4.37724   0.87074
   8.90048  11.12077   5.05954   0.87189
   8.92314  11.21902   5.68035   0.87304
   8.94591  11.16553   5.17331   0.87357
   8.96879  11.13451   4.86207   0.87409
   8.99180  11.20358   5.33295   0.87462
   9.01492  11.25122   5.66478   0.87515
   9.03816  11.24430   5.61716   0.87568
   9.06152  11.23330   5.56963   0.87375
   9.08500  11.24222   5.70570   0.87181
   9.10861  11.15955   5.19873   0.86987
   9.13233  11.08694   4.73591   0.86791
   9.15618  11.13583   5.11353   0.86594
   9.18016  11.14068   5.18489   0.86499
   9.20426  11.10312   4.94675   0.86403
   9.22848  11.09322   4.90943   0.86306
   9.25284  11.07934   4.86377   0.86209
   9.27732  11.10766   5.07414   0.86111
   9.30193  11.18367   5.54888   0.86416
   9.32668  11.17728   5.42454   0.86722
   9.35155  11.17629   5.31740   0.87029
   9.37656  11.27268   5.83829   0.87339
   9.40170  11.32756   6.06644   0.87650
   9.42698  11.35009   6.13177   0.87765
   9.45239  11.37868   6.30850   0.87882
   9.47794  11.38842   6.38783   0.87999
   9.50363  11.40102   6.48100   0.88117
   9.52946  11.37991   6.30057   0.88235
   9.55542  11.30597   5.70869   0.88420
   9.58153  11.28198   5.48107   0.88606
   9.60779  11.33443   5.83239   0.88793
   9.63418  11.36027   5.95526   0.88982
   9.66072  11.36175   5.84479   0.89171
   9.68741  11.40972   6.11875   0.89535
   9.71425  11.45562   6.38611   0.89901
   9.74123  11.43702   6.06281   0.90269
   9.76837  11.41255   5.70496   0.90640
   9.79565  11.42752   5.78703   0.91012
   9.82309  11.45371   6.03199   0.91153
   9.85068  11.46031   6.08495   0.91295
   9.87843  11.45291   5.97832   0.91437
   9.90633  11.43352   5.73860   0.91581
   9.93440  11.40492   5.41615   0.91725
   9.96262  11.40171   5.32214   0.91980
   9.99100  11.41765   5.38385   0.92237
  10.01954  11.41679   5.28397   0.92495
  10.04825  11.40609   5.09212   0.92754
  10.07712  11.40914   5.02978   0.93015
  10.10615  11.41707   5.02984   0.93328
  10.13536  11.42688   5.06697   0.93643
  10.16473  11.44121   5.15045   0.93960
  10.19428  11.45474   5.26903   0.94279
  10.22399  11.47818   5.59424   0.94599
  10.25388  11.50050   5.92554   0.94785
  10.28395  11.49411   5.86684   0.94972
  10.31419  11.47457   5.62989   0.95160
  10.34461  11.46241   5.49398   0.95349
  10.37521  11.44908   5.37409   0.95539
  10.40599  11.43807   5.34007   0.95614
  10.43695  11.43609   5.51674   0.95689
  10.46810  11.43173   5.72470   0.95765
  10.49943  11.41691   5.74725   0.95841
  10.53095  11.40587   5.85345   0.95918
  10.56267  11.39057   5.89890   0.95893
  10.59457  11.35967   5.68102   0.95867
  10.62666  11.33167   5.56222   0.95842
  10.65895  11.30709   5.50503   0.95816
  10.69144  11.28234   5.47105   0.95791
  10.72413  11.26149   5.53929   0.95716
  10.75701  11.24343   5.65175   0.95640
  10.79010  11.22707   5.87491   0.95564
  10.82339  11.20981   6.16991   0.95488
  10.85689  11.18105   6.14184   0.95411
  10.89059  11.14324   5.85576   0.95381
  10.92450  11.11183   5.74606   0.95350
  10.95863  11.09292   5.94067   0.95319
  10.99297  11.08053   6.28661   0.95289
  11.02752  11.05466   6.21944   0.95257
  11.06230  11.01628   5.81609   0.95279
  11.09729  10.98479   5.67624   0.95302
  11.13250  10.96066   5.74651   0.95324
